Rk 	Player 	Pos 	Age 	Tm 	G 	MP 	PER 	TS% 	3PAr 	FTr 	ORB% 	DRB% 	TRB% 	AST% 	STL% 	BLK% 	TOV% 	USG% 	  	OWS 	DWS 	WS 	WS/48 	  	OBPM 	DBPM 	BPM 	VORP
98	Serge Ibaka	PF	32	MIL	4	19	1.5	.324	.154	.154	11.5	39.0	26.4	0.0	0.0	0.0	12.6	36.2		-0.1	0.1	-0.1	-0.218		-11.3	-6.2	-17.5	-0.1
99	Andre Iguodala	SF	38	GSW	3	42	4.2	.316	.400	.600	9.1	11.4	10.3	19.6	0.0	4.4	32.2	10.0		0.0	0.0	0.0	-0.001		-5.2	-0.2	-5.4	0.0
100	Brandon Ingram	SF	24	NOP	6	236	20.8	.584	.229	.398	1.9	17.7	9.3	27.3	0.9	0.7	14.2	29.5		0.5	0.0	0.6	.116		4.5	-0.5	3.9	0.4
101	Kyrie Irving	PG	29	BRK	4	170	18.9	.588	.333	.333	4.6	11.6	8.1	18.9	2.1	2.8	11.1	21.9		0.4	0.0	0.4	.114		3.4	-0.7	2.8	0.2
102	Jaren Jackson Jr.	PF	22	MEM	6	147	13.9	.512	.459	.311	10.0	23.2	16.2	3.1	1.3	11.3	12.6	21.9		0.0	0.4	0.3	.105		-2.4	1.8	-0.6	0.1
103	Isaiah Joe	SG	22	PHI	4	8	-8.2	.500	.667	.000	0.0	0.0	0.0	0.0	0.0	0.0	40.0	29.4		-0.1	0.0	-0.1	-0.378		-9.9	-7.6	-17.5	0.0
104	Cameron Johnson	PF	25	PHO	6	167	10.8	.583	.560	.300	2.3	12.6	7.8	7.0	0.9	0.0	9.6	17.5		0.1	0.0	0.1	.043		-1.1	-1.4	-2.6	0.0
105	Jalen Johnson	PF	20	ATL	2	9	-20.0	.000	.333	.000	0.0	0.0	0.0	0.0	0.0	0.0	25.0	20.5		-0.1	0.0	-0.1	-0.535		-17.0	-8.3	-25.2	-0.1
106	Nikola Jokić	C	26	DEN	5	171	32.5	.643	.170	.311	11.9	36.6	23.9	36.5	2.3	3.1	16.6	36.8		0.6	0.1	0.7	.194		8.1	2.5	10.7	0.6
107	Derrick Jones Jr.	PF	24	CHI	5	59	5.9	.519	.647	.176	4.7	7.4	5.9	5.3	0.8	0.0	14.1	15.8		0.0	0.1	0.0	.005		-4.7	-1.1	-5.8	-0.1
108	Herbert Jones	PF	23	NOP	6	226	11.5	.596	.273	.500	3.9	6.7	5.2	6.8	2.5	1.9	13.0	11.7		0.3	0.1	0.4	.080		-1.1	1.5	0.4	0.1
